Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,ADT,0,0,0,0,4040000000.0,13680000000.0,,5.82,,0.76,1.27,2.67,5.87,-8.27,6.43,1.24,-11.45,5130000000.0,6.86,9.5,3740000000.0,2320000000.0,-424150000.0,-0.57,,48740000.0,0.06,9910000000.0,311.09,0.56,4.17,1870000000.0,574720000.0,2.04,4.71,6.75,2150000.0,770150000.0,117370000.0,1.84,94.95,24170000.0,7.81,21.63,36220000.0
0,0,AEE,0,0,0,0,18310000000.0,28090000000.0,22.15,21.37,2.83,3.1,2.27,4.75,11.33,14.67,24.03,3.02,10.44,5650000000.0,22.99,-7.2,2740000000.0,2360000000.0,828000000.0,3.35,38.2,16000000.0,0.06,9830000000.0,119.9,0.57,32.73,2170000000.0,-504000000.0,0.35,73.46,77.11,2100000.0,246740000.0,244870000.0,0.43,77.11,12650000.0,5.6,5.88,13450000.0
0,0,AEO,0,0,0,0,1160000000.0,2340000000.0,6.24,6.08,,0.28,0.93,0.54,4.73,4.44,7.38,7.6,15.09,4310000000.0,25.39,5.7,1520000000.0,495220000.0,191260000.0,1.12,-93.7,416930000.0,2.49,1600000000.0,128.29,1.39,7.47,415420000.0,88330000.0,1.29,8.42,13.13,6600000.0,165500000.0,151000000.0,7.03,106.15,10260000.0,1.84,7.85,15290000.0
0,0,AEP,0,0,0,0,41080000000.0,71160000000.0,21.4,19.57,2.43,2.64,2.09,4.57,12.6,12.35,18.43,2.48,9.82,15560000000.0,31.52,-4.9,6500000000.0,5160000000.0,1920000000.0,3.88,-57.8,449500000.0,0.91,30840000000.0,154.36,0.4,39.73,4269999999.9999995,-1830000000.0,0.41,82.02,91.9,3780000.0,494830000.0,493590000.0,0.02,77.0,6980000.0,1.59,1.41,8240000.0
0,0,AES,0,0,0,0,8439999999.999999,27180000000.0,28.2,8.9,1.26,0.83,2.82,2.67,8.78,2.97,20.96,4.03,8.71,10190000000.0,15.35,-7.3,2350000000.0,3180000000.0,302000000.0,0.45,,1430000000.0,2.15,20450000000.0,386.65,1.03,4.51,2390000000.0,-443250000.0,1.19,12.9,17.38,6000000.0,664770000.0,661390000.0,0.37,98.55,7280000.0,1.0,1.46,9850000.0
0,0,AET,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AFL,0,0,0,0,25320000000.0,26990000000.0,7.91,8.07,,1.18,0.87,1.21,,14.81,20.95,1.99,12.61,22310000000.0,30.05,9.3,7760000000.0,4710000000.0,3300000000.0,4.43,48.8,5530000000.0,7.65,8449999999.999999,29.16,0.57,39.85,5460000000.0,2720000000.0,0.94,34.04,47.38,4890000.0,722510000.0,669900000.0,8.45,64.98,10290000.0,1.66,1.44,15100000.0
0,0,AGN,0,0,0,0,61050000000.0,78350000000.0,,11.11,1.85,3.79,1.05,4.87,42.21,-32.76,8.83,0.9,-8.54,16090000000.0,48.9,6.6,13650000000.0,7480000000.0,-5270000000.0,-16.02,,5910000000.0,17.98,23220000000.0,39.9,1.0,177.04,7240000000.0,7300000000.0,1.31,179.19,185.25,4030000.0000000005,328280000.0,328380000.0,0.16,98.09,15010000.0,3.22,4.58,14990000.0
0,0,AIG,0,0,0,0,19520000000.0,52500000000.0,6.14,5.79,,0.4,0.3,1.05,,6.73,14.19,0.87,6.61,49780000000.0,56.78,-6.4,15380000000.0,12070000000.0,3280000000.0,3.74,,15900000000.0,18.2,36080000000.0,53.51,0.66,74.93,-928000000.0,406500000.0,1.54,24.07,44.21,9200000.0,861290000.0,872300000.0,0.12,94.53,13390000.0,1.2,1.56,16100000.000000002
0,0,AIV,0,0,0,0,5230000000.0,9600000000.0,11.16,714.29,798.64,5.69,2.94,10.5,9.11,51.81,17.22,1.51,26.55,915100000.0,6.2,-0.5,603880000.0,537750000.0,466140000.0,3.15,1702.5,142900000.0,0.96,4560000000.0,232.49,1.03,11.96,374470000.0,17750000.0,0.91,35.79,48.41,1680000.0,148930000.0,147540000.0,0.84,102.56,2940000.0,1.43,2.39,3250000.0
0,0,AIZ,0,0,0,0,6050000000.0,6190000000.0,17.34,11.9,,0.63,1.07,0.61,,3.86,7.46,1.08,7.15,9920000000.0,160.21,11.1,934300000.0,866100000.0,363900000.0,5.84,410.4,2300000000.0,38.49,3690000000.0,64.88,0.6,94.25,1410000000.0,1490000000.0,0.66,101.44,123.11,59740000.0,59740000.0,59250000.0,0.84,98.14,2089999.9999999998,3.51,3.99,2000000.0
0,0,AKAM,0,0,0,0,16620000000.000002,17750000000.0,35.26,20.79,1.78,5.82,4.54,6.13,17.36,16.74,20.18,6.14,14.21,2950000000.0,18.17,8.2,1910000000.0,875410000.0,494050000.0,3.0,14.9,1250000000.0,7.71,2670000000.0,72.74,3.2,22.67,1120000000.0,337690000.0,,94.62,91.41,2110000.0,162480000.0,158340000.0,2.47,93.37,5770000.0,2.29,4.06,5890000.0
0,0,ALL,0,0,0,0,31470000000.0,40010000000.0,7.09,9.41,2.29,0.74,1.32,0.9,,10.85,14.68,3.53,20.49,44670000000.0,136.12,21.0,12490000000.0,7200000000.0,4680000000.0,14.03,,4590000000.0,14.5,7220000000.0,27.76,0.72,74.45,5130000000.0,-11140000000.0,0.93,91.99,107.51,2410000.0,316400000.0,315340000.0,0.41,80.57,3500000.0,1.22,1.11,4930000.0
0,0,ALTR,0,0,0,0,2190000000.0,2170000000.0,,86.96,,4.69,6.13,4.74,69.5,-1.64,1.79,0.83,-2.33,458920000.0,6.41,20.3,326320000.0,29730000.0,-7540000.0,-0.11,,223120000.0,3.08,207980000.0,58.63,2.31,4.9,31390000.0,32470000.0,1.48,27.53,33.21,41780000.0,41780000.0,39910000.0,4.36,96.03,5010000.0,11.81,12.07,5200000.0
0,0,ALXN,0,0,0,0,23130000000.0,23050000000.0,9.73,9.74,0.74,4.69,2.05,4.62,8.75,48.17,42.87,8.5,23.53,4990000000.0,22.36,22.6,4600000000.0,2500000000.0,2400000000.0,10.7,,2750000000.0,12.42,2820000000.0,25.06,4.25,50.93,2080000000.0,1400000000.0,1.38,92.21,102.55,2730000.0,222100000.0,220780000.0,0.3,94.34,4540000.0,1.58,2.13,4760000.0
0,0,AMAT,0,0,0,0,46740000000.0,48260000000.0,16.85,13.09,0.9,3.17,5.4,3.21,12.09,18.83,23.2,11.26,33.52,15020000000.0,16.2,10.9,6390000000.0,3850000000.0,2830000000.0,3.02,15.7,3960000000.0,4.31,5470000000.0,63.21,2.36,9.43,3400000000.0,2190000000.0,1.51,47.48,56.19,10630000.0,918310000.0,914210000.0,0.36,84.39,17800000.0,1.5,1.95,18780000.0
0,0,AMD,0,0,0,0,65450000000.0,64680000000.00001,186.33,50.25,2.09,9.3,23.15,9.61,89.33,6.72,10.63,8.92,20.19,7250000000.0,6.45,40.4,2870000000.0,1000000000.0,487000000.0,0.43,912.5,1380000000.0,1.18,699000000.0,23.02,2.21,2.6,,,,48.01,44.64,81900000.0,1170000000.0,1160000000.0,0.6,77.83,70510000.0,0.82,6.06,67600000.0
0,0,AMGN,0,0,0,0,136650000000.0,157640000000.0,18.05,15.11,1.61,6.06,14.13,6.75,12.48,33.57,41.61,9.63,70.74,23360000000.0,38.62,-0.5,19010000000.0,11760000000.0,7840000000.0,12.88,-11.7,8910000000.0,15.11,30430000000.0,314.6,1.44,16.36,9150000000.0,6450000000.0,0.9,211.88,221.6,3380000.0,587760000.0,588500000.0,0.22,79.05,7600000.0,1.94,1.3,8690000.0
0,0,AMP,0,0,0,0,12830000000.0,13930000000.0,7.5,7.0,1.8,1.1,2.24,1.08,,14.69,23.57,1.31,33.45,12890000000.0,96.12,-3.2,6330000000.0,3220000000.0,1890000000.0,13.92,-14.1,5280000000.0,42.86,5590000000.0,97.52,2.41,46.22,2340000000.0,1520000000.0,1.9,103.74,146.37,1100000.0,122970000.0,122820000.0,0.25,88.34,2550000.0,1.97,2.33,3250000.0
0,0,AMT,0,0,0,0,110240000000.0,139800000000.0,58.63,54.64,2.77,14.61,21.81,18.44,31.0,24.9,37.79,4.72,28.41,7580000000.0,17.14,-9.8,5360000000.0,4640000000.0,1890000000.0,4.24,102.7,1500000000.0,3.39,31060000000.0,471.55,0.47,11.41,3750000000.0,3450000000.0,0.4,230.12,227.66,2650000.0,443450000.0,441210000.0,0.34,94.4,3900000.0,1.14,1.02,4070000.0000000005
0,0,AMZN,0,0,0,0,920220000000.0,936350000000.0,104.28,83.33,1.89,4.31,19.27,4.29,32.23,4.13,5.14,4.64,21.94,280520000000.0,567.86,20.8,114990000000.0,36190000000.0,11590000000.0,23.01,8.0,55020000000.0,110.53,77540000000.0,124.94,1.1,124.62,38510000000.0,18790000000.0,1.25,2048.07,1909.84,6200000.0,498000000.0,422160000.0,15.12,57.57,4950000.0,0.74,1.17,4400000.0
0,0,AN,0,0,0,0,3010000000.0,9020000000.0,6.75,7.1,1.02,0.14,0.95,0.42,8.69,2.11,3.67,4.61,15.34,21340000000.0,236.8,2.5,3520000000.0,963000000.0,450800000.0,4.97,70.1,42000000.0,0.47,6030000000.0,190.57,0.87,35.39,769200000.0,721370000.0,1.25,30.22,43.68,1090000.0,89470000.0,60530000.0,11.64,87.8,5740000.0,4.18,9.79,5690000.0
0,0,ANF,0,0,0,0,556840000.0,1650000000.0,15.07,13.91,,0.16,0.53,0.46,6.46,1.09,3.76,2.87,3.93,3620000000.0,56.23,2.5,2150000000.0,286470000.0,39360000.0,0.6,-14.2,671270000.0,10.9,1770000000.0,165.22,1.55,16.86,300680000.0,25120000.0,1.34,9.78,14.81,2850000.0,61600000.0,56880000.0,2.18,112.5,13750000.0,4.59,30.84,15100000.0
0,0,ANN,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AON,0,0,0,0,40430000000.0,36230000000.0,27.44,16.78,1.53,3.82,11.98,3.29,13.21,13.91,24.0,5.92,41.05,11010000000.0,46.16,4.2,5170000000.0,3190000000.0,1530000000.0,6.37,8.4,818000000.0,3.53,8570000000.0,248.45,1.06,14.54,1840000000.0,1680000000.0,0.93,172.26,198.86,1820000.0,231080000.0,229150000.0,0.95,93.68,8960000.0,4.15,3.91,4000000.0
0,0,APA,0,0,0,0,3960000000.0,12450000000.0,,86.96,,0.63,1.22,1.97,191.55,-57.19,-20.01,-3.91,-52.85,6210000000.0,16.48,-2.8,4630000000.0,3800000000.0,-3550000000.0,-9.43,,247000000.0,0.65,8930000000.0,174.35,1.06,8.65,2870000000.0,1050000000.0,2.69,7.0,20.48,17890000.0,377420000.0,375970000.0,0.46,100.86,49390000.0,1.69,17.81,27820000.0
0,0,APC,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
